Time (s),AIN0,AIN1
0.275,0.09147053956985474,0.09147053956985474
0.276,0.09133134037256241,0.09133134037256241
0.277,0.09126490354537964,0.09126174449920654
0.278,0.09122378379106522,0.09122378379106522
0.279,0.09120479971170425,0.09120163321495056
0.28,0.0911794900894165,0.09117316454648972
0.281,0.09116050601005554,0.09116050601005554
0.282,0.09114785492420197,0.09115102142095566
0.283,0.09114152938127518,0.09114152938127518
0.284,0.09114152938127518,0.091128870844841
0.285,0.09113520383834839,0.091128870844841
0.286,0.091128870844841,0.09112571179866791
0.287,0.09112571179866791,0.09112571179866791
0.288,0.09112254530191422,0.09112254530191422
0.289,0.09112254530191422,0.09111621975898743
0.29,0.09112254530191422,0.09111621975898743
0.291,0.09112254530191422,0.09111305326223373
0.292,0.09112254530191422,0.09111621975898743
0.293,0.09111305326223373,0.09111305326223373
0.294,0.09111938625574112,0.09110989421606064
0.295,0.09111938625574112,0.09111938625574112
0.296,0.09111938625574112,0.09110989421606064
0.297,0.09111621975898743,0.09111621975898743
0.298,0.09111938625574112,0.09111305326223373
0.299,0.09111938625574112,0.09111621975898743
0.3,0.09111621975898743,0.09111305326223373
0.301,0.09111938625574112,0.09110989421606064
0.302,0.09111621975898743,0.09110989421606064
0.303,0.09111621975898743,0.09111305326223373
0.304,0.09111621975898743,0.09111305326223373
0.305,0.09111621975898743,0.09110989421606064
0.306,0.09111305326223373,0.09111621975898743
0.307,0.09111621975898743,0.09111305326223373
0.308,0.09111305326223373,0.09110989421606064
0.309,0.09111621975898743,0.09110989421606064
0.31,0.09111621975898743,0.09110989421606064
0.311,0.09110989421606064,0.09110989421606064
0.312,0.09111938625574112,0.09111305326223373
0.313,0.09111621975898743,0.09111305326223373
0.314,0.09111938625574112,0.09111621975898743
0.315,0.09112254530191422,0.09111938625574112
0.316,0.09111621975898743,0.09111938625574112
0.317,0.09111621975898743,0.09111621975898743
0.318,0.09112254530191422,0.09111621975898743
0.319,0.09112571179866791,0.09111938625574112
0.32,0.09111938625574112,0.09111938625574112
0.321,0.09111621975898743,0.09111938625574112
0.322,0.09112254530191422,0.09111621975898743
0.323,0.09112254530191422,0.09111621975898743
0.324,0.09112254530191422,0.09111621975898743
0.325,0.0911794900894165,0.0911794900894165
0.326,0.09131236374378204,0.09131236374378204
0.327,0.09138195961713791,0.09138195961713791
0.328,0.09142941236495972,0.09142308682203293
0.329,0.09145472198724747,0.09145472198724747
0.33,0.09148003160953522,0.09147686511278152
0.331,0.0914926826953888,0.0914895236492157
0.332,0.09150217473506927,0.09150217473506927
0.333,0.09150850027799606,0.09150850027799606
0.334,0.09151799231767654,0.09151166677474976
0.335,0.09152115881443024,0.09151799231767654
0.336,0.09152115881443024,0.09152115881443024
0.337,0.09152431786060333,0.09152431786060333
0.338,0.09152748435735703,0.09152431786060333
0.339,0.09153064340353012,0.09152431786060333
0.34,0.09153064340353012,0.09152748435735703
0.341,0.09153064340353012,0.09153064340353012
0.342,0.0915369763970375,0.09153380990028381
0.343,0.09153064340353012,0.09152748435735703
0.344,0.09153380990028381,0.09153064340353012
0.345,0.09153380990028381,0.09153064340353012
0.346,0.0915369763970375,0.09153380990028381
0.347,0.0915369763970375,0.09153380990028381
